time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
319029241,111.74,73.29,97.13,130.17,4.20,4.36,s7_stimuli_t1.jpg,1082
319033241,111.10,73.49,98.47,129.17,4.20,4.36,s7_stimuli_t1.jpg,1082
319037240,111.18,73.40,97.16,129.41,4.19,4.36,s7_stimuli_t1.jpg,1082
319041240,111.64,74.10,100.64,130.87,4.19,4.35,s7_stimuli_t1.jpg,1082
319045239,111.59,74.81,101.47,131.03,4.19,4.34,s7_stimuli_t1.jpg,1082
319049239,112.37,76.58,102.30,134.13,4.18,4.33,s7_stimuli_t1.jpg,1082
319053240,113.90,80.25,103.74,134.59,4.17,4.32,s7_stimuli_t1.jpg,1082
319057240,115.80,79.81,104.84,138.06,4.17,4.32,s7_stimuli_t1.jpg,1082
319061241,115.16,81.98,106.49,139.34,4.17,4.31,s7_stimuli_t1.jpg,1082
319065242,116.17,81.78,107.14,140.60,4.16,4.31,s7_stimuli_t1.jpg,1082
319069242,115.70,82.74,107.53,141.23,4.16,4.30,s7_stimuli_t1.jpg,1082
319073243,116.45,83.92,109.62,140.73,4.16,4.30,s7_stimuli_t1.jpg,1082
319077244,117.79,84.11,110.83,142.17,4.16,4.30,s7_stimuli_t1.jpg,1082
319081244,118.29,85.07,112.38,146.74,4.15,4.29,s7_stimuli_t1.jpg,1082
319085245,118.86,85.98,112.84,148.62,4.14,4.29,s7_stimuli_t1.jpg,1082
319089246,118.97,86.56,115.09,150.32,4.15,4.29,s7_stimuli_t1.jpg,1082
319093246,119.68,85.86,117.30,151.53,4.14,4.28,s7_stimuli_t1.jpg,1082
319097247,120.06,85.16,121.57,155.68,4.14,4.28,s7_stimuli_t1.jpg,1082
319101248,120.00,85.24,123.89,158.14,4.14,4.27,s7_stimuli_t1.jpg,1082
319105248,121.13,84.98,126.78,160.63,4.13,4.26,s7_stimuli_t1.jpg,1082
319109249,121.42,85.04,130.70,165.11,4.13,4.26,s7_stimuli_t1.jpg,1082
319113250,121.94,85.68,133.86,165.80,4.13,4.26,s7_stimuli_t1.jpg,1082
319117250,122.50,84.97,133.92,170.07,4.13,4.25,s7_stimuli_t1.jpg,1082
319121250,122.34,85.81,134.98,172.93,4.13,4.24,s7_stimuli_t1.jpg,1082
319125250,123.47,87.03,140.61,174.74,4.13,4.24,s7_stimuli_t1.jpg,1082
319129250,124.52,87.12,141.62,176.55,4.13,4.23,s7_stimuli_t1.jpg,1082
319133250,124.95,86.87,143.57,179.16,4.13,4.23,s7_stimuli_t1.jpg,1082
319137250,125.37,87.83,145.01,181.26,4.13,4.23,s7_stimuli_t1.jpg,1082
319141251,125.10,87.59,144.68,182.94,4.14,4.22,s7_stimuli_t1.jpg,1082
319145251,125.40,87.84,144.00,185.04,4.13,4.22,s7_stimuli_t1.jpg,1082
319149251,125.50,87.24,145.66,186.18,4.13,4.22,s7_stimuli_t1.jpg,1082
319153251,125.99,89.06,144.43,188.08,4.14,4.22,s7_stimuli_t1.jpg,1082
319157251,127.11,90.19,145.36,189.54,4.13,4.22,s7_stimuli_t1.jpg,1082
319161251,126.80,91.52,145.46,190.32,4.13,4.22,s7_stimuli_t1.jpg,1082
319165251,126.60,91.10,147.03,191.18,4.13,4.21,s7_stimuli_t1.jpg,1082
319169251,126.28,90.30,145.38,191.59,4.13,4.20,s7_stimuli_t1.jpg,1082
319173251,125.19,90.73,146.52,192.48,4.13,4.20,s7_stimuli_t1.jpg,1082
319177251,125.25,90.04,146.00,192.43,4.14,4.20,s7_stimuli_t1.jpg,1082
319181251,125.23,88.82,146.94,192.47,4.14,4.20,s7_stimuli_t1.jpg,1082
319185251,125.01,89.55,145.32,193.01,4.14,4.19,s7_stimuli_t1.jpg,1082
319189251,123.98,89.35,145.63,193.28,4.14,4.19,s7_stimuli_t1.jpg,1082
319193251,123.11,88.58,144.88,194.37,4.15,4.19,s7_stimuli_t1.jpg,1082
319197251,122.86,86.30,148.00,193.90,4.15,4.19,s7_stimuli_t1.jpg,1082
319201251,121.95,84.36,147.36,194.14,4.16,4.19,s7_stimuli_t1.jpg,1082
319205251,121.43,83.14,146.40,195.50,4.16,4.19,s7_stimuli_t1.jpg,1082
319209252,121.71,81.92,149.79,195.81,4.17,4.18,s7_stimuli_t1.jpg,1082
319213252,120.19,81.25,150.70,196.32,4.17,4.17,s7_stimuli_t1.jpg,1082
319217252,120.03,78.55,152.72,196.10,4.18,4.17,s7_stimuli_t1.jpg,1082
319221252,135.50,79.02,160.69,197.79,4.18,4.17,s7_stimuli_t1.jpg,1082
319225252,219.82,87.66,224.21,200.64,4.18,4.17,s7_stimuli_t1.jpg,1082
319229252,271.33,114.54,284.06,205.93,4.19,4.18,s7_stimuli_t1.jpg,1082
319233252,352.14,139.56,356.32,214.22,4.19,4.18,s7_stimuli_t1.jpg,1082
319237252,417.47,165.37,429.61,216.15,4.20,4.18,s7_stimuli_t1.jpg,1082
319241252,430.99,175.87,444.64,220.09,4.20,4.18,s7_stimuli_t1.jpg,1082
