time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
306137872,137.38,116.57,154.37,137.33,4.10,3.83,s7_stimuli_t1.jpg,1879
306141872,137.79,117.98,153.38,137.97,4.10,3.82,s7_stimuli_t1.jpg,1879
306145872,136.26,116.32,151.34,139.33,4.10,3.82,s7_stimuli_t1.jpg,1879
306149872,137.61,117.63,151.13,138.39,4.11,3.82,s7_stimuli_t1.jpg,1879
306153872,137.54,115.37,150.10,145.14,4.11,3.82,s7_stimuli_t1.jpg,1879
306157872,136.88,119.53,151.23,141.21,4.11,3.82,s7_stimuli_t1.jpg,1879
306161871,136.22,119.87,150.43,143.21,4.12,3.82,s7_stimuli_t1.jpg,1879
306165871,137.20,120.80,149.74,146.67,4.12,3.82,s7_stimuli_t1.jpg,1879
306169871,136.30,122.32,149.82,150.89,4.12,3.82,s7_stimuli_t1.jpg,1879
306173871,138.81,122.37,150.73,151.86,4.12,3.83,s7_stimuli_t1.jpg,1879
306177871,139.01,119.94,150.85,151.89,4.12,3.83,s7_stimuli_t1.jpg,1879
306181870,140.61,123.13,148.69,151.44,4.11,3.83,s7_stimuli_t1.jpg,1879
306185870,141.92,122.24,146.59,150.81,4.10,3.83,s7_stimuli_t1.jpg,1879
306189870,143.15,127.66,148.92,150.29,4.10,3.84,s7_stimuli_t1.jpg,1879
306193869,144.09,125.17,148.57,149.06,4.10,3.84,s7_stimuli_t1.jpg,1879
306197869,145.15,128.99,146.02,151.72,4.09,3.84,s7_stimuli_t1.jpg,1879
306201869,147.36,129.52,148.15,148.75,4.08,3.85,s7_stimuli_t1.jpg,1879
306205869,150.65,131.14,146.53,148.74,4.07,3.85,s7_stimuli_t1.jpg,1879
306209868,151.88,134.05,146.79,146.58,4.06,3.86,s7_stimuli_t1.jpg,1879
306213868,154.02,136.53,145.38,145.57,4.07,3.85,s7_stimuli_t1.jpg,1879
306217868,155.23,135.65,147.73,146.23,4.07,3.84,s7_stimuli_t1.jpg,1879
306221868,156.27,135.12,145.33,147.30,4.06,3.84,s7_stimuli_t1.jpg,1879
306225867,157.42,134.36,147.15,151.38,4.06,3.84,s7_stimuli_t1.jpg,1879
306229867,159.04,132.57,152.49,156.03,4.07,3.84,s7_stimuli_t1.jpg,1879
306233867,159.16,131.71,154.16,157.19,4.07,3.82,s7_stimuli_t1.jpg,1879
306237867,158.61,130.86,155.21,160.35,4.07,3.82,s7_stimuli_t1.jpg,1879
306241866,157.27,131.59,156.36,162.01,4.08,3.82,s7_stimuli_t1.jpg,1879
306245866,153.47,130.09,157.64,162.59,4.09,3.82,s7_stimuli_t1.jpg,1879
306249866,151.73,130.02,161.86,164.98,4.09,3.82,s7_stimuli_t1.jpg,1879
306253866,148.55,127.02,161.69,169.23,4.09,3.83,s7_stimuli_t1.jpg,1879
306257865,145.11,125.43,163.19,169.45,4.10,3.82,s7_stimuli_t1.jpg,1879
306261865,144.63,121.11,165.23,169.99,4.10,3.83,s7_stimuli_t1.jpg,1879
306265865,139.48,123.24,165.71,169.91,4.11,3.83,s7_stimuli_t1.jpg,1879
