time,gaze_x_left,gaze_y_left,gaze_x_right,gaze_y_right,pupil_left,pupil_right,stimfile,subject_id
1746620341,157.56,197.54,112.65,153.88,5.12,4.65,s7_stimuli_t5.jpg,1996
1746624341,157.79,200.79,111.59,152.63,5.11,4.66,s7_stimuli_t5.jpg,1996
1746628341,158.86,202.95,111.28,151.5,5.1,4.66,s7_stimuli_t5.jpg,1996
1746632341,159.91,203.72,111.11,151.32,5.1,4.66,s7_stimuli_t5.jpg,1996
1746636342,160.47,203.68,112.78,150.78,5.09,4.65,s7_stimuli_t5.jpg,1996
1746640342,164.45,201.97,119.66,149.28,5.09,4.65,s7_stimuli_t5.jpg,1996
1746644342,169.18,201.73,126.85,148.48,5.09,4.64,s7_stimuli_t5.jpg,1996
1746648342,170.02,200.91,128.76,147.82,5.08,4.64,s7_stimuli_t5.jpg,1996
1746652342,170.41,201.17,125.38,147.29,5.08,4.64,s7_stimuli_t5.jpg,1996
1746656342,169.73,203.03,127.43,145.74,5.09,4.64,s7_stimuli_t5.jpg,1996
1746660343,171.53,196.83,136.31,145.48,5.09,4.64,s7_stimuli_t5.jpg,1996
1746664343,170.52,191.27,140.69,144.81,5.09,4.63,s7_stimuli_t5.jpg,1996
1746668343,171.13,189.23,145.79,143.78,5.09,4.62,s7_stimuli_t5.jpg,1996
1746672343,168.41,190.46,147.03,143.27,5.09,4.61,s7_stimuli_t5.jpg,1996
1746676343,172.57,188.41,147.16,142.98,5.09,4.61,s7_stimuli_t5.jpg,1996
1746680343,178.67,187.36,149.56,142.82,5.09,4.61,s7_stimuli_t5.jpg,1996
1746684344,177.62,187.11,148.33,143.69,5.1,4.61,s7_stimuli_t5.jpg,1996
1746688344,173.71,188.22,147.29,143.73,5.1,4.61,s7_stimuli_t5.jpg,1996
1746692345,173.02,187.27,150.82,144.16,5.11,4.61,s7_stimuli_t5.jpg,1996
1746696346,173.05,185.52,155.84,145.64,5.1,4.61,s7_stimuli_t5.jpg,1996
1746700347,171.41,184.11,158.36,148.47,5.1,4.6,s7_stimuli_t5.jpg,1996
1746704348,170.79,184.97,161.29,152.88,5.1,4.59,s7_stimuli_t5.jpg,1996
1746708349,173.79,186.18,162.81,154.03,5.1,4.58,s7_stimuli_t5.jpg,1996
1746712350,176.63,186.55,161.63,157.51,5.11,4.58,s7_stimuli_t5.jpg,1996
1746716351,180.02,185.85,160.68,159.0,5.11,4.58,s7_stimuli_t5.jpg,1996
1746720352,177.2,185.39,160.63,158.69,5.11,4.58,s7_stimuli_t5.jpg,1996
1746724353,174.49,186.39,161.39,158.72,5.11,4.59,s7_stimuli_t5.jpg,1996
1746728353,172.89,187.17,163.34,159.58,5.12,4.59,s7_stimuli_t5.jpg,1996
1746732354,170.45,186.54,166.27,160.68,5.13,4.59,s7_stimuli_t5.jpg,1996
1746736355,169.05,183.68,167.7,162.21,5.13,4.58,s7_stimuli_t5.jpg,1996
1746740356,169.88,181.5,169.45,161.87,5.13,4.58,s7_stimuli_t5.jpg,1996
1746744357,168.76,181.06,167.96,162.05,5.14,4.57,s7_stimuli_t5.jpg,1996
1746748358,169.8,177.38,166.47,160.54,5.14,4.57,s7_stimuli_t5.jpg,1996
1746752359,166.49,173.84,164.89,159.84,5.15,4.57,s7_stimuli_t5.jpg,1996
1746756359,162.79,170.3,166.49,159.47,5.16,4.57,s7_stimuli_t5.jpg,1996
1746760359,155.65,172.13,169.88,157.7,5.16,4.57,s7_stimuli_t5.jpg,1996
1746764358,161.03,171.6,172.32,155.28,5.16,4.57,s7_stimuli_t5.jpg,1996
1746768358,167.42,171.41,170.08,157.42,5.16,4.57,s7_stimuli_t5.jpg,1996
1746772358,161.95,174.13,172.35,156.16,5.16,4.57,s7_stimuli_t5.jpg,1996
1746776357,159.26,174.1,172.34,156.04,5.17,4.57,s7_stimuli_t5.jpg,1996
1746780357,160.37,173.47,172.66,155.3,5.17,4.57,s7_stimuli_t5.jpg,1996
1746784357,160.31,174.18,170.34,153.92,5.17,4.57,s7_stimuli_t5.jpg,1996
1746788356,160.07,174.53,170.65,154.01,5.17,4.57,s7_stimuli_t5.jpg,1996
1746792356,158.14,174.5,172.72,153.25,5.17,4.57,s7_stimuli_t5.jpg,1996
1746796356,159.16,177.03,173.03,156.6,5.17,4.57,s7_stimuli_t5.jpg,1996
1746800355,161.11,176.43,169.93,156.67,5.17,4.58,s7_stimuli_t5.jpg,1996
1746804355,163.56,173.71,169.67,157.77,5.18,4.58,s7_stimuli_t5.jpg,1996
1746808355,158.48,171.64,170.62,160.37,5.17,4.57,s7_stimuli_t5.jpg,1996
1746812355,158.85,173.18,171.47,162.54,5.17,4.56,s7_stimuli_t5.jpg,1996
1746816354,161.47,173.46,168.64,166.02,5.17,4.57,s7_stimuli_t5.jpg,1996
1746820354,174.99,172.53,173.23,166.62,5.16,4.57,s7_stimuli_t5.jpg,1996
1746824354,189.85,174.36,207.05,169.17,5.17,4.58,s7_stimuli_t5.jpg,1996
1746828353,217.87,180.16,288.7,178.15,5.19,4.58,s7_stimuli_t5.jpg,1996
